03-12-16:58:17 85.08
03-12-16:58:22 85.06
03-12-16:58:27 85.03
03-12-16:58:32 85.01
03-12-16:58:37 84.98
03-12-16:58:42 84.96
03-12-16:58:48 84.92
03-12-16:58:53 84.90
03-12-16:58:58 84.87
03-12-16:59:03 84.83
03-12-16:59:08 84.80
03-12-16:59:13 84.74
03-12-16:59:18 84.69
03-12-16:59:23 84.63
03-12-16:59:28 84.60
03-12-16:59:33 84.58
03-12-16:59:38 84.55
03-12-16:59:43 84.52
03-12-16:59:48 84.50
03-12-16:59:53 84.45
03-12-16:59:59 84.42
03-12-17:00:04 84.38
03-12-17:00:09 84.33
03-12-17:00:14 84.28
03-12-17:00:19 84.24
03-12-17:00:24 84.21
03-12-17:00:29 84.18
03-12-17:00:34 84.14
03-12-17:00:39 84.09
03-12-17:00:44 84.06
03-12-17:00:49 84.03
03-12-17:00:54 84.01
03-12-17:00:59 83.97
03-12-17:01:04 83.92
03-12-17:01:09 83.89
03-12-17:01:15 83.86
03-12-17:01:20 83.84
03-12-17:01:25 83.80
03-12-17:01:30 83.76
03-12-17:01:35 83.73
03-12-17:01:40 83.71
03-12-17:01:45 83.67
03-12-17:01:50 83.65
03-12-17:01:55 83.61
03-12-17:02:00 83.58
03-12-17:02:05 83.55
03-12-17:02:10 83.50
03-12-17:02:15 83.46
03-12-17:02:20 83.42
03-12-17:02:26 83.39
03-12-17:02:31 83.37
03-12-17:02:36 83.33
03-12-17:02:41 83.30
03-12-17:02:46 83.27
03-12-17:02:51 83.22
03-12-17:02:56 83.18
03-12-17:03:01 83.15
03-12-17:03:06 83.13
03-12-17:03:11 83.11
03-12-17:03:16 83.09
03-12-17:03:21 83.06
03-12-17:03:26 83.02
03-12-17:03:31 82.99
03-12-17:03:36 82.95
03-12-17:03:41 82.90
03-12-17:03:47 82.87
03-12-17:03:52 82.82
03-12-17:03:57 82.81
03-12-17:04:02 82.78
03-12-17:04:07 82.77
03-12-17:04:12 82.75
03-12-17:04:17 82.73
03-12-17:04:22 82.71
03-12-17:04:27 82.69
03-12-17:04:32 82.67
03-12-17:04:37 82.65
03-12-17:04:42 82.64
03-12-17:04:47 82.62
03-12-17:04:52 82.60
03-12-17:04:57 82.58
03-12-17:05:03 82.56
03-12-17:05:08 82.54
03-12-17:05:13 82.52
03-12-17:05:18 82.50
03-12-17:05:23 82.48
03-12-17:05:28 82.47
03-12-17:05:33 82.45
03-12-17:05:38 82.44
03-12-17:05:43 82.42
03-12-17:05:48 82.40
03-12-17:05:53 82.38
03-12-17:05:58 82.37
03-12-17:06:03 82.34
03-12-17:06:08 82.33
03-12-17:06:13 82.31
03-12-17:06:19 82.30
03-12-17:06:24 82.27
03-12-17:06:29 82.26
03-12-17:06:34 82.24
03-12-17:06:39 82.23
03-12-17:06:44 82.21
03-12-17:06:49 82.19
03-12-17:06:54 82.18
03-12-17:06:59 82.16
03-12-17:07:04 82.14
03-12-17:07:09 82.13
03-12-17:07:14 82.11
03-12-17:07:19 82.09
03-12-17:07:24 82.07
03-12-17:07:29 82.05
03-12-17:07:35 82.04
03-12-17:07:40 82.02
