03-12-16:58:17 1.56
03-12-16:58:22 2.00
03-12-16:58:27 2.16
03-12-16:58:32 3.01
03-12-16:58:37 4.61
03-12-16:58:43 4.88
03-12-16:58:48 5.21
03-12-16:58:53 5.36
03-12-16:58:58 5.65
03-12-16:59:03 6.16
03-12-16:59:08 6.06
03-12-16:59:13 5.58
03-12-16:59:18 5.21
03-12-16:59:23 5.03
03-12-16:59:28 4.63
03-12-16:59:33 4.26
03-12-16:59:38 3.92
03-12-16:59:43 3.60
03-12-16:59:48 3.40
03-12-16:59:53 3.12
03-12-16:59:59 2.87
03-12-17:00:04 2.64
03-12-17:00:09 2.51
03-12-17:00:14 2.31
03-12-17:00:19 2.13
03-12-17:00:24 1.96
03-12-17:00:29 1.80
03-12-17:00:34 1.66
03-12-17:00:39 1.52
03-12-17:00:44 1.48
03-12-17:00:49 1.44
03-12-17:00:54 1.33
03-12-17:00:59 1.22
03-12-17:01:04 1.20
03-12-17:01:09 1.19
03-12-17:01:15 1.09
03-12-17:01:20 1.00
03-12-17:01:25 0.92
03-12-17:01:30 1.25
03-12-17:01:35 1.15
03-12-17:01:40 1.14
03-12-17:01:45 1.05
03-12-17:01:50 0.96
03-12-17:01:55 0.89
03-12-17:02:00 0.81
03-12-17:02:05 0.75
03-12-17:02:10 0.69
03-12-17:02:15 0.71
03-12-17:02:20 0.82
03-12-17:02:25 0.83
03-12-17:02:31 0.85
03-12-17:02:36 0.86
03-12-17:02:41 0.95
03-12-17:02:46 0.95
03-12-17:02:51 0.96
03-12-17:02:56 1.04
03-12-17:03:01 1.04
03-12-17:03:06 1.03
03-12-17:03:11 1.19
03-12-17:03:16 1.18
03-12-17:03:21 1.32
03-12-17:03:26 1.38
03-12-17:03:31 1.67
03-12-17:03:36 1.77
03-12-17:03:41 1.95
03-12-17:03:47 1.87
03-12-17:03:52 1.97
03-12-17:03:57 1.89
03-12-17:04:02 1.90
03-12-17:04:07 1.83
03-12-17:04:12 1.76
03-12-17:04:17 1.86
03-12-17:04:22 1.79
03-12-17:04:27 1.65
03-12-17:04:32 1.67
03-12-17:04:37 1.62
03-12-17:04:42 1.73
03-12-17:04:47 1.75
03-12-17:04:52 2.25
03-12-17:04:57 2.55
03-12-17:05:03 2.75
03-12-17:05:08 3.74
03-12-17:05:13 3.74
03-12-17:05:18 4.62
03-12-17:05:23 4.81
03-12-17:05:28 4.98
03-12-17:05:33 4.99
03-12-17:05:38 4.75
03-12-17:05:43 5.17
03-12-17:05:48 5.47
03-12-17:05:53 5.04
03-12-17:05:58 4.63
03-12-17:06:03 4.34
03-12-17:06:08 3.99
03-12-17:06:13 3.75
03-12-17:06:19 3.45
03-12-17:06:24 3.18
03-12-17:06:29 2.92
03-12-17:06:34 2.69
03-12-17:06:39 2.47
03-12-17:06:44 2.27
03-12-17:06:49 2.09
03-12-17:06:54 1.93
03-12-17:06:59 1.85
